Distance,Distance_rs,Distance_36k,x,y,Line,bedmap2_bed,Susc,Window_Width,Depth,data/results/rosetta_lindeque_basement_g80kfilt.nc,Depth_filtered,Depth_36k,binned,counts,rs_basement,rs_basement_filt,filt_clip,filt_clip_oib,misfit,abs_misfit
14216.53497675166,33000.0,0.0,322856.102748,-1030367.0448650001,590.0,-730.0855783925,23.33039231985,22500.9828414,-10960.62304645,-2908.9816185649997,-10960.62304645,-2152.8698225866406,1.0,78.0,-1955.9247561541981,-2011.4085082175027,-2011.4085082175027,,,
18000.0,,,,,,,,,,,,,,,,,,,,
18601.88703890146,38000.0,36000.0,318189.904393,-1030361.399845,590.0,-770.587703286,21.181561954539998,19076.9202351,-10028.094237905,-2938.412101095,-10028.094237905,-2226.515986524029,1.0,165.0,-1997.5864222053415,-2032.2571056080435,-2032.2571056080435,,,
23561.63905067119,43000.0,36000.0,313045.7517805,-1030355.834695,590.0,-844.0028659474999,69.50169458055,25435.8936468,-14687.47949165,-2936.41373343,-14687.47949165,-2285.4329176739393,1.0,165.0,-2080.87422557769,-2094.7318403197896,-2094.7318403197896,,,
28712.697863107223,48000.0,36000.0,307772.84202850005,-1030351.4731650001,590.0,-923.040869796,29.87103628125,19566.072036,-11503.9047847,-2930.2971623800004,-11503.9047847,-2332.566462593868,1.0,165.0,-2205.7881662712443,-2198.832712352741,-2198.832712352741,,,
33000.0,,,,,,,,,,,,,,,,,,-3344.097243072305,,
33506.11961710927,53000.0,36000.0,302900.49861575,-1030347.70136,590.0,-977.71622622675,27.280388163875003,20544.3756378,-11291.315429225,-2949.2121865225,-11291.315429225,-2409.1584730887516,1.0,165.0,-2372.328244286003,-2344.559721706897,-2344.559721706897,-3347.0899435948313,-1002.5302218879342,1002.5302218879342
38000.0,,,,,,,,,,,,,,,,,,-3350.082644117357,,
38075.64108396684,58000.0,36000.0,298274.310031,-1030346.02459,590.0,-1006.635101935,3.85934292141,8315.5806153,-3519.6217039450003,-3000.1638850649997,-3519.6217039450003,-2447.80870593647,1.0,165.0,-2580.4944596219675,-2531.9128683822587,-2531.9128683822587,-3353.597377220603,-821.6845088383443,821.6845088383443
43000.0,,,,,,,,,,,,,,,,,,-3357.112110323849,,
43350.036626392044,63000.0,36000.0,292949.47832899995,-1030344.827945,590.0,-1017.290986705,4.14286920248,20055.2238369,-4934.039794715,-3093.131793905,-4934.039794715,-2998.032887557226,1.0,165.0,-2830.286812279137,-2760.5686090173435,-2760.5686090173435,-3361.1488760078137,-600.5802669904701,600.5802669904701
48000.0,,,,,,,,,,,,,,,,,,-3365.1856416917785,,
50641.437840813844,68000.0,48000.0,285606.05551833333,-1030341.2401833333,590.0,-990.0647551750001,7.182028457726666,11902.6938219,-6591.146809613333,-3239.204628586667,-6591.146809613333,-3813.4552107699687,1.0,126.66666666666666,-3121.7053022575124,-3019.52646932174,-3019.52646932174,-3369.744439956464,-350.21797063472377,350.21797063472377
53000.0,,,,,,,,,,,,,,,,,,-3374.303238221149,,
53013.16575083809,73000.0,60000.0,283220.49867566663,-1030340.2638066667,590.0,-977.51370647,13.064973168263332,14511.503426700001,-9839.338541256666,-3282.5992009633333,-9839.338541256666,-3818.4121853791644,1.0,88.33333333333333,-3452.808669388197,-3292.609281221317,-3292.609281221317,-3376.843653643851,-84.2343724225343,84.2343724225343
54000.0,,,,,,,,,,,,,,,,,,-3379.384069066554,,
56828.49171489064,78000.0,72000.0,279385.391992,-1030338.444795,590.0,-957.8730013434999,11.142446856029999,16631.161230600002,-9734.508056245,-3344.41108412,-9734.508056245,-3830.8046219021544,1.0,50.0,-3759.535328097624,-3563.63987664194,-3563.63987664194,-3381.924484489256,181.71539215268422,181.71539215268422
58000.0,,,,,,,,,,,,,,,,,,-3384.464899911958,,
63000.0,,,,,,,,,,,,,,,,,,-3395.670626764207,,
63124.41693584607,83000.0,72000.0,273061.831909,-1030338.32015,590.0,-933.4642120605,9.735503854640001,21522.679239600002,-11073.439941,-3395.163724695,-11073.439941,-4098.481250798739,1.0,50.0,-4010.825115683462,-3816.4410875094777,-3816.4410875094777,-3399.7538907687695,416.68719674070826,416.68719674070826
67770.69116490478,88000.0,72000.0,268398.3055155,-1030340.273635,590.0,-924.5593258575,7.20998799975,22011.8310405,-10201.986816025,-3386.6296862050003,-10201.986816025,-4247.190489074619,1.0,50.0,-4206.678032145708,-4034.8357457497973,-4034.8357457497973,-3403.8371547733323,630.998590976465,630.998590976465
68000.0,,,,,,,,,,,,,,,,,,-3407.9204187778946,,
73000.0,,,,,,,,,,,,,,,,,,-3421.214275953022,,
